Win#   	MACD-8  	roll  	rolls since shift
09579  	f535a858  	4113934424  	429497
09580  	f53c3611  	4114363921  	429497
09581  	f542c3c9  	4114793417  	429496
09582  	f5495182  	4115222914  	429497
09583  	f54fdf3b  	4115652411  	429497
09584  	f5566cf4  	4116081908  	429497
09585  	f55cfaac  	4116511404  	429496
09586  	f5638865  	4116940901  	429497
09587  	f56a161e  	4117370398  	429497
09588  	f570a3d7  	4117799895  	429497
09589  	f577318f  	4118229391  	429496
09590  	f57dbf48  	4118658888  	429497
09591  	f5844d01  	4119088385  	429497
09592  	f58adab9  	4119517881  	429496
09593  	f5916872  	4119947378  	429497
09594  	f597f62b  	4120376875  	429497
09595  	f59e83e4  	4120806372  	429497
09596  	f5a5119c  	4121235868  	429496
09597  	f5ab9f55  	4121665365  	429497
09598  	f5b22d0e  	4122094862  	429497
09599  	f5b8bac7  	4122524359  	429497
09600  	f5bf487f  	4122953855  	429496
09601  	f5c5d638  	4123383352  	429497
09602  	f5cc63f1  	4123812849  	429497
09603  	f5d2f1aa  	4124242346  	429497
09604  	f5d97f62  	4124671842  	429496
09605  	f5e00d1b  	4125101339  	429497
09606  	f5e69ad4  	4125530836  	429497
09607  	f5ed288c  	4125960332  	429496
09608  	f5f3b645  	4126389829  	429497
09609  	f5fa43fe  	4126819326  	429497
09610  	f600d1b7  	4127248823  	429497
09611  	f6075f6f  	4127678319  	429496
09612  	f60ded28  	4128107816  	429497
09613  	f6147ae1  	4128537313  	429497
09614  	f61b089a  	4128966810  	429497
09615  	f6219652  	4129396306  	429496
09616  	f628240b  	4129825803  	429497
09617  	f62eb1c4  	4130255300  	429497
09618  	f6353f7c  	4130684796  	429496
09619  	f63bcd35  	4131114293  	429497
09620  	f6425aee  	4131543790  	429497
09621  	f648e8a7  	4131973287  	429497
09622  	f64f765f  	4132402783  	429496
09623  	f6560418  	4132832280  	429497
09624  	f65c91d1  	4133261777  	429497
09625  	f6631f8a  	4133691274  	429497
09626  	f669ad42  	4134120770  	429496
09627  	f6703afb  	4134550267  	429497
